R	0.247
t	0.798
L	1.2305
Volume	0.0015
Fuel Volume	0.20276
Margin Volume	5.1333
Mass	6.7355
Shell	48562407.0194	Margin	6.365
Column stress	408112031.8967	Margin	793.8776
Hoop stress	742875949.3671	Margin	18.4585
Applied stress	45656364.3392
Material	Ti6Al4V
